rounds,representation,model,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss,accuracy_std,roc_auc_std,true_negative_std,false_positive_std,false_negative_std,true_positive_std,true_positive_rate_std,true_negative_rate_std,balanced_accuracy_std,loss_std,effective_seed_count,num_seeds
3,joint,mlp,0.8123333333333334,0.8737323748041644,1246.5,248.5,314.5,1190.5,0.7910299003322259,0.8337792642140468,0.8124045822731363,0.5069374049504598,0.0003333333333332,0.0004737830420338,6.5,6.5,5.5,5.5,0.0036544850498338,0.0043478260869564,0.0003466705185613,0.0033010509808858,2,2
3,joint,siamese,0.8396666666666667,0.9035059278436428,1253.5,241.5,239.5,1265.5,0.8408637873754152,0.8384615384615385,0.8396626629184769,0.4972567387421925,0.0013333333333332,0.0017214635718173,3.5,3.5,0.5,0.5,0.0003322259136213,0.0023411371237458,0.0013366815186835,0.0183845490614573,2,2
4,concat,cnn,0.4903333333333333,0.4954732347504457,816.0,691.0,838.0,655.0,0.4387139986604152,0.5414731254147312,0.4900935620375732,0.7111069222291311,0.0043333333333333,0.0040771999034645,3.0,3.0,16.0,16.0,0.0107166778298727,0.0019907100199071,0.0043629839049827,0.0018619997501373,0,2
4,concat,mlp,0.6551666666666667,0.7050682437084185,994.0,513.0,521.5,971.5,0.6507032819825854,0.6595885865958859,0.6551459342892356,0.6709841423829397,0.0075,0.000986688154542,26.0,26.0,3.5,3.5,0.0023442732752846,0.0172528201725282,0.0074542734486218,0.0042228233814239,2,2
4,concat,siamese,0.6598333333333333,0.7124832940806267,990.5,516.5,504.0,989.0,0.6624246483590087,0.6572660915726609,0.6598453699658349,0.6693821570078532,0.0061666666666666,0.0071883787691376,17.5,17.5,1.0,1.0,0.000669792364367,0.0116124751161247,0.0061411337402459,0.0198845122655232,2,2
4,delta,cnn,0.7593333333333334,0.8241379478930875,1165.0,342.0,380.0,1113.0,0.7454789015405225,0.7730590577305906,0.7592689796355565,0.5339584088722864,0.0003333333333333,0.0019560425982609,6.0,6.0,7.0,7.0,0.0046885465505693,0.0039814200398141,0.0003535632553775,0.0024533565441767,2,2
4,delta,mlp,0.7938333333333334,0.8556941906734858,1336.5,170.5,448.0,1045.0,0.6999330207635632,0.8868613138686132,0.7933971673160882,0.4536474072138468,0.0021666666666666,0.0011982483174078,10.5,10.5,4.0,4.0,0.0026791694574681,0.0069674850696748,0.0021441578061033,0.0017585347493489,2,2
4,delta,siamese,0.7861666666666667,0.853788593618261,1272.0,235.0,406.5,1086.5,0.7277294038847957,0.8440610484406106,0.7858952261627031,0.4724693791468938,0.0015,0.0011806923795229,1.0,1.0,5.5,5.5,0.0036838580040187,0.0006635700066356,0.0015101439986915,0.0060648764371872,2,2
4,delta_stats,cnn,0.741,0.807515141440858,1142.0,365.0,412.0,1081.0,0.724045545880777,0.7577969475779694,0.7409212467293732,0.5467963422139486,0.0063333333333333,0.0067568138150565,9.0,9.0,10.0,10.0,0.0066979236436705,0.0059721300597213,0.0063350268516958,0.0027179810206094,2,2
4,delta_stats,mlp,0.7916666666666666,0.8583700267250265,1329.0,178.0,447.0,1046.0,0.7006028131279303,0.8818845388188454,0.7912436759733878,0.4525107905467351,0.0,0.0022558269046748,9.0,9.0,9.0,9.0,0.0060281312793034,0.0059721300597213,2.800060979102348e-05,0.0005546491543451,2,2
4,delta_stats,siamese,0.7553333333333333,0.8303701947286852,1160.5,346.5,387.5,1105.5,0.7404554588077696,0.7700729927007299,0.7552642257542497,0.5373754846254984,0.005,0.0011512472938299,14.5,14.5,0.5,0.5,0.0003348961821835,0.0096217650962176,0.0049783306392005,0.0095614999135335,2,2
4,joint,cnn,0.495,0.4967452624523823,1051.0,456.0,1059.0,434.0,0.290689886135298,0.6974120769741208,0.4940509815547094,0.7014896314144135,0.0033333333333333,0.0017529270637449,210.0,210.0,200.0,200.0,0.1339584728734092,0.139349701393497,0.0026956142600438,0.0031684129238128,0,2
4,joint,mlp,0.6036666666666667,0.63915858612032,906.5,600.5,588.5,904.5,0.6058271935699933,0.6015262110152622,0.6036767022926277,0.7081917780240377,0.0113333333333333,0.0090346411988527,20.5,20.5,13.5,13.5,0.0090421969189551,0.0136031851360317,0.0113226910274935,0.0035549782117207,1,2
4,joint,siamese,0.6258333333333334,0.6721924166348512,938.5,568.5,554.0,939.0,0.6289350301406564,0.6227604512276045,0.6258477406841304,0.7428728734652201,0.0091666666666666,0.0112046884576597,2.5,2.5,25.0,25.0,0.0167448091091761,0.0016589250165892,0.0092018670628827,0.023752371152242,2,2
5,concat,cnn,0.498,0.4949146670305264,768.0,725.0,781.0,726.0,0.4817518248175182,0.5144005358338914,0.4980761803257049,0.7141901222864787,0.0033333333333333,0.0016448135981628,51.0,51.0,41.0,41.0,0.0272063702720637,0.0341594105827194,0.0034765201553278,0.0030637831687927,0,2
5,concat,mlp,0.4968333333333333,0.4960563585606975,729.0,764.0,745.5,761.5,0.5053085600530856,0.4882786336235767,0.4967935968383312,0.7235236394405364,0.0018333333333333,0.0020011546918132,7.0,7.0,12.5,12.5,0.0082946250829462,0.0046885465505693,0.0018030392661884,0.0108672994772593,0,2
5,concat,siamese,0.492,0.4898993355855305,782.0,711.0,813.0,694.0,0.4605175846051758,0.5237776289350302,0.492147606770103,0.7320666762987773,0.007,0.0082564020283107,10.0,10.0,31.0,31.0,0.0205706702057066,0.0066979236436704,0.006936373281018,0.0018945323626199,0,2
5,delta,cnn,0.5595,0.576593223585758,821.0,672.0,649.5,857.5,0.5690112806901129,0.549899531145345,0.5594554059177289,0.7122574898401897,0.0101666666666666,0.0078701713948436,57.0,57.0,26.5,26.5,0.0175846051758461,0.0381781647689216,0.0102967797965377,0.0033925565083821,0,2
5,delta,mlp,0.6085,0.6402222759517874,926.5,566.5,608.0,899.0,0.5965494359654944,0.6205626255860683,0.6085560307757814,0.6714297591845195,0.0041666666666667,0.0006732368838254,19.5,19.5,7.0,7.0,0.0046449900464499,0.0130609511051573,0.0042079805293537,0.000144806543986,2,2
5,delta,siamese,0.6013333333333333,0.6341328100034178,863.0,630.0,566.0,941.0,0.6244193762441937,0.5780308104487608,0.6012250933464773,0.6741352246602377,0.0026666666666666,0.0013010283335059,72.0,72.0,80.0,80.0,0.0530856005308559,0.0482250502344272,0.0024302751482143,0.0015130213101704,1,2
5,delta_stats,cnn,0.5253333333333334,0.5310678988120185,919.5,573.5,850.5,656.5,0.4356337093563371,0.6158740790354991,0.525753894195918,0.7021725561618805,0.0056666666666666,0.0032737379614045,8.5,8.5,25.5,25.5,0.0169210351692103,0.0056932350971198,0.0056139000360452,0.00267063275973,0,2
5,delta_stats,mlp,0.5991666666666666,0.6331945673483556,900.0,593.0,609.5,897.5,0.5955540809555409,0.6028131279303417,0.5991836044429413,0.6758116029103597,0.0018333333333332,0.0025835007073488,39.0,39.0,33.5,33.5,0.0222295952222959,0.0261219022103148,0.0019461534940094,0.0044022396405537,1,2
5,delta_stats,siamese,0.5793333333333333,0.607978907096199,946.5,546.5,715.5,791.5,0.5252156602521566,0.6339584728734092,0.5795870665627829,0.7052680048147837,0.0103333333333333,0.0057666811410559,90.5,90.5,121.5,121.5,0.0806237558062375,0.0606162089752176,0.0100037734155099,0.0202388718128203,0,2
5,joint,cnn,0.5066666666666666,0.5074089391280077,759.0,734.0,746.0,761.0,0.5049767750497678,0.5083724045545881,0.5066745898021778,0.7067350788116455,0.0026666666666666,0.0020383777246704,15.0,15.0,23.0,23.0,0.0152621101526211,0.0100468854655056,0.0026076123435576,0.011778915087382,0,2
5,joint,mlp,0.509,0.5056885683288214,813.5,679.5,793.5,713.5,0.473457199734572,0.544876088412592,0.509166644073582,0.7570135910511018,0.0026666666666667,0.0006326804450408,68.5,68.5,60.5,60.5,0.0401459854014598,0.0458807769591426,0.0028673957788414,0.0059577988783518,0,2
5,joint,siamese,0.5093333333333334,0.5055107866793543,872.0,621.0,851.0,656.0,0.4353019243530193,0.5840589417280643,0.5096804330405418,0.7708198883533478,0.0006666666666666,0.0035020762674387,88.0,88.0,90.0,90.0,0.059721300597213,0.0589417280643,0.0003897862664564,0.0363547071615855,0,2
6,concat,cnn,0.5076666666666667,0.5030539030218549,839.0,645.0,832.0,684.0,0.4511873350923482,0.5653638814016173,0.5082756082469828,0.7032580155531565,0.0033333333333333,0.0031027974738458,89.0,89.0,99.0,99.0,0.0653034300791556,0.0599730458221024,0.0026651921285266,0.0025848551591237,0,2
6,concat,mlp,0.5156666666666667,0.5172028461904998,705.0,779.0,674.0,842.0,0.5554089709762533,0.4750673854447439,0.5152381782104987,0.7130317828655244,0.0133333333333333,0.0095335291482052,23.0,23.0,63.0,63.0,0.04155672823219,0.0154986522911051,0.0130290379705424,0.0005725279649098,0,2
6,concat,siamese,0.5028333333333334,0.5091741549260715,802.5,681.5,810.0,706.0,0.4656992084432718,0.5407681940700808,0.5032337012566763,0.7242416786352793,0.0074999999999999,0.011073037643394,40.5,40.5,18.0,18.0,0.0118733509234828,0.0272911051212937,0.0077088770989054,0.0006965541044871,0,2
6,delta,cnn,0.5213333333333333,0.524829491711057,718.5,765.5,670.5,845.5,0.5577176781002638,0.4841644204851751,0.5209410492927196,0.7049675053755442,0.001,0.0051428073594151,68.5,68.5,65.5,65.5,0.0432058047493403,0.0461590296495957,0.0014766124501276,0.0059019976456959,0,2
6,delta,mlp,0.5146666666666666,0.5197393570112867,761.5,722.5,733.5,782.5,0.5161609498680739,0.5131401617250674,0.5146505557965706,0.6998670698006948,0.0036666666666666,0.0005549520300976,23.5,23.5,12.5,12.5,0.0082453825857519,0.0158355795148247,0.0037950984645364,0.0004941246509552,0,2
6,delta,siamese,0.5043333333333333,0.5081891539659624,776.0,708.0,779.0,737.0,0.4861477572559367,0.522911051212938,0.5045294042344373,0.705107246875763,0.0043333333333333,0.0025480676912572,128.0,128.0,141.0,141.0,0.0930079155672823,0.0862533692722371,0.0033772731475226,0.0018480359713236,0,2
6,delta_stats,cnn,0.5171666666666667,0.5202116329680176,663.0,821.0,627.5,888.5,0.5860817941952506,0.4467654986522911,0.5164236464237708,0.7029111581643422,0.0051666666666666,0.0007538635506972,101.0,101.0,85.5,85.5,0.0563984168865435,0.0680592991913746,0.0058304411524155,0.0012959291934967,0,2
6,delta_stats,mlp,0.5048333333333334,0.5094427410407585,738.0,746.0,739.5,776.5,0.5122031662269129,0.4973045822102426,0.5047538742185778,0.7021896285216014,0.0058333333333333,0.0035711840991686,60.0,60.0,77.5,77.5,0.0511213720316622,0.0404312668463611,0.0053450525926505,0.0019146970907847,0,2
6,delta_stats,siamese,0.516,0.5149587019678683,875.0,609.0,843.0,673.0,0.4439313984168865,0.5896226415094339,0.5167770199631603,0.7063300976753235,0.0006666666666667,0.0011769116841738,36.0,36.0,38.0,38.0,0.0250659630606859,0.0242587601078167,0.0004036014764346,0.0014884686470032,0,2
6,joint,cnn,0.4948333333333333,0.5001620184340974,725.0,759.0,756.5,759.5,0.5009894459102902,0.488544474393531,0.4947669601519106,0.7020739967823029,0.0048333333333333,0.0052461524511233,94.0,94.0,108.5,108.5,0.0715699208443272,0.0633423180592992,0.0041138013925139,0.0001786577701568,0,2
6,joint,mlp,0.5103333333333333,0.5109938064064178,721.5,762.5,706.5,809.5,0.5339709762532981,0.4861859838274933,0.5100784800403957,0.7257730003992716,0.0046666666666666,0.0026666367373354,24.5,24.5,38.5,38.5,0.0253957783641161,0.0165094339622641,0.0044431722009259,0.0050894481341043,0,2
6,joint,siamese,0.5051666666666667,0.5083076118882859,812.0,672.0,812.5,703.5,0.4640501319261214,0.5471698113207547,0.5056099716234381,0.7412808176676432,0.0065,0.0029870065216309,77.0,77.0,96.5,96.5,0.0636543535620052,0.0518867924528301,0.0058837805545875,0.0090853686332702,0,2
