rounds,representation,model,train_seed,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,true_positive_rate,true_negative_rate,balanced_accuracy,loss
7,concat,siamese,2027,0.4816666666666667,0.4779701538717325,948,575,980,497,0.3364928909952606,0.6224556795797768,0.4794742852875187,0.7401598513921102
8,concat,siamese,1337,0.502,0.5051104535296952,747,751,743,759,0.5053262316910786,0.4986648865153538,0.5019955591032161,0.7535570171674093
8,concat,siamese,2027,0.5033333333333333,0.5183695882126013,551,947,543,959,0.6384820239680427,0.3678237650200267,0.5031528944940347,0.7177740829785665
3,delta,siamese,1337,0.953,0.9888812097912196,1426,69,72,1433,0.9521594684385382,0.953846153846154,0.953002811142346,0.1525631597836812
3,delta,siamese,2027,0.9503333333333334,0.9887096523294704,1419,76,73,1432,0.9514950166112957,0.9491638795986622,0.9503294481049788,0.148129764954249
4,delta,siamese,1337,0.7876666666666666,0.854969285997784,1271,236,401,1092,0.7314132618888145,0.8433974784339748,0.7874053701613947,0.4664045027097066
4,delta,siamese,2027,0.7846666666666666,0.8526079012387381,1273,234,412,1081,0.724045545880777,0.8447246184472462,0.7843850821640116,0.478534255584081
5,delta,siamese,1337,0.5986666666666667,0.6328317816699118,935,558,646,861,0.5713337757133378,0.6262558606831882,0.598794818198263,0.6756482459704081
5,delta,siamese,2027,0.604,0.6354338383369238,791,702,486,1021,0.6775049767750497,0.5298057602143336,0.6036553684946917,0.6726222033500672
6,delta,siamese,1337,0.5,0.505641086274705,904,580,920,596,0.3931398416886543,0.6091644204851752,0.5011521310869147,0.7069552828470866
6,delta,siamese,2027,0.5086666666666667,0.5107372216572197,648,836,638,878,0.579155672823219,0.4366576819407008,0.5079066773819599,0.7032592109044393
7,delta,siamese,1337,0.5066666666666667,0.5040780699106591,910,613,867,610,0.4129993229519296,0.5975049244911359,0.5052521237215327,0.7149391627311706
7,delta,siamese,2027,0.481,0.4900023161000964,605,918,639,838,0.5673662830060935,0.3972422849638871,0.4823042839849902,0.7101966555913289
8,delta,siamese,1337,0.503,0.5040244515990251,766,732,759,743,0.4946737683089214,0.5113484646194927,0.503011116464207,0.704066010316213
8,delta,siamese,2027,0.514,0.5149589154825165,781,717,741,761,0.5066577896138482,0.5213618157543392,0.5140098026840937,0.7052288784980774
3,delta_stats,siamese,1337,0.9203333333333332,0.97523616929077,1370,125,114,1391,0.9242524916943522,0.9163879598662208,0.9203202257802864,0.2180062235196431
3,delta_stats,siamese,2027,0.9256666666666666,0.9761250680563116,1373,122,101,1404,0.932890365448505,0.9183946488294314,0.9256425071389682,0.2420085899829864
4,delta_stats,siamese,1337,0.7503333333333333,0.8292189474348552,1146,361,388,1105,0.7401205626255861,0.7604512276045122,0.7502858951150492,0.546936984539032
4,delta_stats,siamese,2027,0.7603333333333333,0.8315214420225152,1175,332,387,1106,0.7407903549899532,0.7796947577969475,0.7602425563934503,0.527813984711965
5,delta_stats,siamese,1337,0.569,0.602212225955143,1037,456,837,670,0.444591904445919,0.6945746818486269,0.569583293147273,0.7255068766276042
5,delta_stats,siamese,2027,0.5896666666666667,0.6137455882372549,856,637,594,913,0.6058394160583942,0.5733422638981915,0.5895908399782929,0.6850291330019633
6,delta_stats,siamese,1337,0.5153333333333333,0.5137817902836945,911,573,881,635,0.4188654353562005,0.6138814016172507,0.5163734184867256,0.7078185663223266
6,delta_stats,siamese,2027,0.5166666666666667,0.5161356136520422,839,645,805,711,0.4689973614775725,0.5653638814016172,0.5171806214395949,0.7048416290283203
7,delta_stats,siamese,1337,0.4863333333333333,0.485123391232872,537,986,555,922,0.6242383209207854,0.3525935653315824,0.4884159431261838,0.7073903748194377
7,delta_stats,siamese,2027,0.4983333333333333,0.4936602872408668,676,847,658,819,0.5545023696682464,0.4438608010505581,0.4991815853594022,0.730952343304952
8,delta_stats,siamese,1337,0.497,0.4961813265445804,685,813,696,806,0.5366178428761651,0.4572763684913217,0.4969471056837434,0.7127190084457398
8,delta_stats,siamese,2027,0.5143333333333333,0.5105120186880332,443,1055,402,1100,0.7323568575233023,0.2957276368491321,0.5140422471862172,0.7053206747372945
3,joint,siamese,1337,0.8383333333333334,0.9017844642718252,1250,245,240,1265,0.840531561461794,0.8361204013377926,0.8383259813997933,0.5156412878036499
3,joint,siamese,2027,0.841,0.9052273914154602,1257,238,239,1266,0.8411960132890366,0.8408026755852843,0.8409993444371604,0.4788721896807352
4,joint,siamese,1337,0.6166666666666667,0.6609877281771914,936,571,579,914,0.6121902210314802,0.6211015262110152,0.6166458736212477,0.7666252446174622
